ISIN;nom;ticker
US94106L1098f;Waste Management Inc.;UWS
XS2434891219f;Fidelity Physical Bitcoin ETP;FBTC
AU00000088E2e;88 Energy Limited;88E
AU000000S320e;South32 Ltd;S32
AU0000XINAJ0e;Seeing Machines Limited;SEE
BMG4209G2077e;Gulf Keystone Petroleum Ltd;GKP
BMG4593F1389e;Hiscox Ltd;HSX
BMG5361W1047e;Lancashire Holdings;LRE
BMG702781094e;Petra Diamonds Ltd;PDL
BMG931151069e;Utilico Emerging Ma;UEM
CH0198251305e;Coca-Cola HBC AG;CCH
ES0113211835e;Banco Bilbao Vizcaya Argentaria SA;BVA
ES0113900J37e;Banco Santander SA;BNC
ES0177542018e;International Conso;IAG
FR001400T0D6e;Canal+;CAN
GB0000066554e;Aberforth Smaller C;ASL
GB0000163088e;Speedy Hire PLC;SDY
GB0000293620e;North American Inco;NAIT
GB0000353929e;City Natural Resour;CYN
GB0000365774e;Anglo-Eastern Plant;AEP
GB0000385517e;Biotech Growth Trus;BIOG
GB0000456144e;Antofagasta PLC;ANTO
GB0000485838e;Baillie Gifford Jap;BGFD
GB0000536739e;Ashtead Group PLC;AHT
GB0000600931e;Braemar Shipping Se;BMS
GB0000667013e;Avon Rubber PLC;AVON
GB0000706274e;Baillie Gifford Shi;BGS
GB0000767003e;Bankers Investment ;BNKR
GB0000904986e;Bellway PLC;BWY
GB0000961622e;Balfour Beatty PLC;BBY
GB0001367019e;British Land Co PLC;BLND
GB0001490001e;Brunner Investment ;BUT
GB0001500809e;Tullow Oil PLC;TLW
GB0001570810e;Xaar PLC;XAR
GB0001638955e;JD Wetherspoon PLC;JDW
GB0001639920e;Caledonia Investmen;CLDN
GB0001738615e;Capital Gearing Tru;CGT
GB0001751915e;Carclo PLC;CAR
GB0001771426e;accesso Technology Group plc;ACSO
GB0001795680e;Castings PLC;CGS
GB0001826634e;Diploma PLC;DPLM
GB0002018363e;Clarkson PLC;CKN
GB0002074580e;Genus PLC;GNS
GB0002148343e;Rathbone Brothers P;RAT
GB0002162385e;Aviva PLC;AV
GB0002258472e;Manchester & London Investment Trust PLC;MNL
GB0002318888e;Cranswick PLC;CWK
GB0002374006e;Diageo PLC;DGE
GB0002405495e;Schroders PLC;SDR
GB0002418548e;Elementis PLC;ELM
GB0002634946e;BAE Systems PLC;BA
GB0002652740e;Derwent London PLC;DLN
GB0002869419e;Big Yellow Group PL;BYG
GB0002875804e;British American Tobacco;BATS
GB0003052338e;Edinburgh Investmen;EDIN
GB0003308607e;Spectris PLC;SXS
GB0003385308e;Worldwide Healthcar;WWH
GB0003390720e;Allianz Technology ;ATT
GB0003395000e;James Fisher & Sons;FSJ
GB0003406096e;Dunedin Income Grow;DIG
GB0003452173e;Firstgroup PLC;FGP
GB0003718474e;Games Workshop Grou;GAW
GB0003781050e;Goodwin PLC;GDWN
GB0003921052e;HgCapital Trust PLC;HGT
GB0004052071e;Halma PLC;HLMA
GB0004082847e;Standard Chartered ;STAN
GB0004148507e;PANTHEON INTERNATIO;PIN
GB0004161021e;Hays PLC;HAS
GB0004170089e;Headlam Group PLC;HEAD
GB0004220025e;Polar Capital Techn;PCT
GB0004228648e;Herald Investment T;HRI
