ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0000065260;Energy;Oil & Gas Refining & Marketing;https://www.dpasa.fr/;Les Docks des Pétroles d'Ambès -SA;585.0;0;0;0;0.21;0.01
NO0012851874;Industrials;Engineering & Construction;https://www.dof.com/;DOF Group ASA;81.0;11.22;7.22;8.44;0.43;0.0
FR0014004QZ9;Energy;Oil & Gas Equipment & Services;https://www.dolfines.com/;Dolfines SA;1.5102;2.81;0.54;0.48;0.14;0.0
NO0012595950;Energy;Oil & Gas Drilling;https://www.dolphindrilling.com/;Dolphin Drilling AS;3.355;0.63;5.33;4.36;0.4;0.0
IE000TIRQBE1;Consumer Defensive;Farm Products;https://www.donegaligroup.com/;Donegal Investment Group plc;16.5;21.26;0.78;0.63;0.58;0.17
FR0013331212;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;1.13;5.46;0.21;0.18;0.98;0.0
IT0001044996;Financial Services;Banks - Regional;https://www.dovalue.it/;doValue S.p.A.;1.568;29.11;0.05;0.06;0.06;0.0
IT0005394413;Technology;Software - Infrastructure;https://www.doxee.com/;Doxee S.p.A.;1.59;5.66;0.28;0.34;0.14;0.0
FR0013088606;Technology;Computer Hardware;https://www.dronevolt.com/;Drone Volt SA;0.3431;0.0;0;0;0;0.0
FR0014007951;;;https://twitter.com/YahooFinance;;0.001;0;0;0;0;0.0
CH1216478797;Basic Materials;Specialty Chemicals;https://www.dsm-firmenich.com/;DSM-Firmenich AG;104.25;58.55;1.78;1.37;0.69;0.0
DE0005565204;Industrials;Specialty Industrial Machinery;https://www.durr-group.com/;Dürr Aktiengesellschaft;23.36;57.61;0.41;0.23;0.24;0.1
FR0014004339;Utilities;Utilities - Renewable;https://www.e-pango.com/;E-Pango SA;0.1178;0.87;0.14;0.15;0.52;0.0
IT0005557514;Industrials;Building Products & Equipment;https://www.e-globe.it/;E-Globe S.p.A.;0.91;0.0;0;0;0;0.0
IT0005391229;;;;;2.18;0.0;0;0;0;0.0
FR0011490648;Industrials;Waste Management;https://www.ecoslops.com/;Ecoslops S.A.;0.676;0.0;0;0;0;0.0
IT0005001943;Utilities;Utilities - Diversified;https://www.ecosuntek.com/;Ecosuntek S.p.A.;18.4;101.0;0.18;0.11;0.06;0.0
NO0010998529;Energy;Oil & Gas Equipment & Services;https://eddawind.com/;Edda Wind ASA;20.2;5.04;4.01;6.73;0.49;0.0
FR0010908533;Financial Services;Credit Services;https://www.edenred.com/;Edenred SE;31.2;72.19;0.43;0.35;0.04;0.06
IT0005561441;Industrials;Infrastructure Operations;https://www.edilsanfelice.it/;Edil San Felice S.p.A.;3.88;0.0;0;0;0;0.0
IT0005351504;Industrials;Specialty Business Services;https://www.ediliziacrobatica.com/;EdiliziAcrobatica S.p.A.;7.84;17.36;0.45;0.27;0.19;0.0
IT0003372205;Utilities;Utilities - Regulated Electric;https://www.edison.it/it;Edison S.p.A.;1.81;96.2;0.02;0.02;0.49;3.61
PTEDP0AM0009;Utilities;Utilities - Diversified;https://www.edp.com/en/;EDP, S.A.;3.266;0;0;0;0.21;1.35
ES0127797019;Utilities;Utilities - Renewable;https://www.edpr.com/;EDP Renováveis, S.A.;10.17;0;0;0;0.42;0.05
FR0010882886;Financial Services;Asset Management;https://www.eduformaction.fr/;Eduform'action Société Anonyme;0.426;0.0;0;0;0;0.0
IT0005577868;Utilities;Utilities - Regulated Gas;https://www.eems.com/;EEMS Italia SpA;0.173;0.4;0.43;0.37;0.61;0.0
FR0000072373;Technology;Electronic Components;https://www.egide-group.com/;Egide S.A.;0.358;1.31;0.27;0.19;0.23;0.0
NL0015000K10;Financial Services;Shell Companies;https://www.ehc-company.com/;European Healthcare Acquisition & Growth Company B.V.;0.0;12.81;0.0;0.0;0.13;0
NO0010263023;Energy;Oil & Gas Equipment & Services;https://www.eidesvik.no/;Eidesvik Offshore ASA;13.46;38.16;0.35;0.51;0.56;0.22
FR0000130452;Industrials;Engineering & Construction;https://www.eiffage.com/;Eiffage SA;87.4;426.75;0.2;0.18;0.19;0.03
FR0011466069;Technology;Communication Equipment;https://www.ekinops.com/;EKINOPS S.A.;3.43;5.53;0.62;0.5;0.78;0.0
BE0974380124;Utilities;Utilities - Regulated Water;https://ekopak.be/;Ekopak NV;13.95;5.18;2.69;1.74;0.46;0.0
IT0005453250;Healthcare;Medical Devices;https://elengroup.com/;EL.En. S.p.A.;12.26;0.0;0;0;0;0.15
